homeTeam,awayTeam,score,status
"{'id': 340, 'name': 'Southampton FC', 'shortName': 'Southampton', 'tla': 'SOU', 'crest': 'https://crests.football-data.org/340.png'}","{'id': 351, 'name': 'Nottingham Forest FC', 'shortName': 'Nottingham', 'tla': 'NOT', 'crest': 'https://crests.football-data.org/351.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 0, 'away': 1}, 'halfTime': {'home': 0, 'away': 0}}",FINISHED
"{'id': 73, 'name': 'Tottenham Hotspur FC', 'shortName': 'Tottenham', 'tla': 'TOT', 'crest': 'https://crests.football-data.org/73.png'}","{'id': 62, 'name': 'Everton FC', 'shortName': 'Everton', 'tla': 'EVE', 'crest': 'https://crests.football-data.org/62.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 4, 'away': 0}, 'halfTime': {'home': 2, 'away': 0}}",FINISHED
"{'id': 58, 'name': 'Aston Villa FC', 'shortName': 'Aston Villa', 'tla': 'AVL', 'crest': 'https://crests.football-data.org/58.png'}","{'id': 57, 'name': 'Arsenal FC', 'shortName': 'Arsenal', 'tla': 'ARS', 'crest': 'https://crests.football-data.org/57.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 0, 'away': 2}, 'halfTime': {'home': 0, 'away': 0}}",FINISHED
"{'id': 1044, 'name': 'AFC Bournemouth', 'shortName': 'Bournemouth', 'tla': 'BOU', 'crest': 'https://crests.football-data.org/bournemouth.png'}","{'id': 67, 'name': 'Newcastle United FC', 'shortName': 'Newcastle', 'tla': 'NEW', 'crest': 'https://crests.football-data.org/67.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 1}, 'halfTime': {'home': 1, 'away': 0}}",FINISHED
"{'id': 76, 'name': 'Wolverhampton Wanderers FC', 'shortName': 'Wolverhampton', 'tla': 'WOL', 'crest': 'https://crests.football-data.org/76.png'}","{'id': 61, 'name': 'Chelsea FC', 'shortName': 'Chelsea', 'tla': 'CHE', 'crest': 'https://crests.football-data.org/61.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 2, 'away': 6}, 'halfTime': {'home': 2, 'away': 2}}",FINISHED
"{'id': 64, 'name': 'Liverpool FC', 'shortName': 'Liverpool', 'tla': 'LIV', 'crest': 'https://crests.football-data.org/64.png'}","{'id': 402, 'name': 'Brentford FC', 'shortName': 'Brentford', 'tla': 'BRE', 'crest': 'https://crests.football-data.org/402.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 2, 'away': 0}, 'halfTime': {'home': 1, 'away': 0}}",FINISHED
"{'id': 57, 'name': 'Arsenal FC', 'shortName': 'Arsenal', 'tla': 'ARS', 'crest': 'https://crests.football-data.org/57.png'}","{'id': 397, 'name': 'Brighton & Hove Albion FC', 'shortName': 'Brighton Hove', 'tla': 'BHA', 'crest': 'https://crests.football-data.org/397.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 1}, 'halfTime': {'home': 1, 'away': 0}}",FINISHED
"{'id': 402, 'name': 'Brentford FC', 'shortName': 'Brentford', 'tla': 'BRE', 'crest': 'https://crests.football-data.org/402.png'}","{'id': 340, 'name': 'Southampton FC', 'shortName': 'Southampton', 'tla': 'SOU', 'crest': 'https://crests.football-data.org/340.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 3, 'away': 1}, 'halfTime': {'home': 1, 'away': 0}}",FINISHED
"{'id': 62, 'name': 'Everton FC', 'shortName': 'Everton', 'tla': 'EVE', 'crest': 'https://crests.football-data.org/62.png'}","{'id': 1044, 'name': 'AFC Bournemouth', 'shortName': 'Bournemouth', 'tla': 'BOU', 'crest': 'https://crests.football-data.org/bournemouth.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 2, 'away': 3}, 'halfTime': {'home': 0, 'away': 0}}",FINISHED
"{'id': 349, 'name': 'Ipswich Town FC', 'shortName': 'Ipswich Town', 'tla': 'IPS', 'crest': 'https://crests.football-data.org/349.png'}","{'id': 63, 'name': 'Fulham FC', 'shortName': 'Fulham', 'tla': 'FUL', 'crest': 'https://crests.football-data.org/63.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 1}, 'halfTime': {'home': 1, 'away': 1}}",FINISHED
"{'id': 338, 'name': 'Leicester City FC', 'shortName': 'Leicester City', 'tla': 'LEI', 'crest': 'https://crests.football-data.org/338.png'}","{'id': 58, 'name': 'Aston Villa FC', 'shortName': 'Aston Villa', 'tla': 'AVL', 'crest': 'https://crests.football-data.org/58.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 2}, 'halfTime': {'home': 0, 'away': 1}}",FINISHED
"{'id': 351, 'name': 'Nottingham Forest FC', 'shortName': 'Nottingham', 'tla': 'NOT', 'crest': 'https://crests.football-data.org/351.png'}","{'id': 76, 'name': 'Wolverhampton Wanderers FC', 'shortName': 'Wolverhampton', 'tla': 'WOL', 'crest': 'https://crests.football-data.org/76.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 1}, 'halfTime': {'home': 1, 'away': 1}}",FINISHED
"{'id': 563, 'name': 'West Ham United FC', 'shortName': 'West Ham', 'tla': 'WHU', 'crest': 'https://crests.football-data.org/563.png'}","{'id': 65, 'name': 'Manchester City FC', 'shortName': 'Man City', 'tla': 'MCI', 'crest': 'https://crests.football-data.org/65.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 3}, 'halfTime': {'home': 1, 'away': 2}}",FINISHED
"{'id': 61, 'name': 'Chelsea FC', 'shortName': 'Chelsea', 'tla': 'CHE', 'crest': 'https://crests.football-data.org/61.png'}","{'id': 354, 'name': 'Crystal Palace FC', 'shortName': 'Crystal Palace', 'tla': 'CRY', 'crest': 'https://crests.football-data.org/354.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 1}, 'halfTime': {'home': 1, 'away': 0}}",FINISHED
"{'id': 67, 'name': 'Newcastle United FC', 'shortName': 'Newcastle', 'tla': 'NEW', 'crest': 'https://crests.football-data.org/67.png'}","{'id': 73, 'name': 'Tottenham Hotspur FC', 'shortName': 'Tottenham', 'tla': 'TOT', 'crest': 'https://crests.football-data.org/73.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 2, 'away': 1}, 'halfTime': {'home': 1, 'away': 0}}",FINISHED
"{'id': 66, 'name': 'Manchester United FC', 'shortName': 'Man United', 'tla': 'MUN', 'crest': 'https://crests.football-data.org/66.png'}","{'id': 64, 'name': 'Liverpool FC', 'shortName': 'Liverpool', 'tla': 'LIV', 'crest': 'https://crests.football-data.org/64.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 0, 'away': 3}, 'halfTime': {'home': 0, 'away': 2}}",FINISHED
"{'id': 340, 'name': 'Southampton FC', 'shortName': 'Southampton', 'tla': 'SOU', 'crest': 'https://crests.football-data.org/340.png'}","{'id': 66, 'name': 'Manchester United FC', 'shortName': 'Man United', 'tla': 'MUN', 'crest': 'https://crests.football-data.org/66.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 0, 'away': 3}, 'halfTime': {'home': 0, 'away': 2}}",FINISHED
"{'id': 397, 'name': 'Brighton & Hove Albion FC', 'shortName': 'Brighton Hove', 'tla': 'BHA', 'crest': 'https://crests.football-data.org/397.png'}","{'id': 349, 'name': 'Ipswich Town FC', 'shortName': 'Ipswich Town', 'tla': 'IPS', 'crest': 'https://crests.football-data.org/349.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 0, 'away': 0}, 'halfTime': {'home': 0, 'away': 0}}",FINISHED
"{'id': 354, 'name': 'Crystal Palace FC', 'shortName': 'Crystal Palace', 'tla': 'CRY', 'crest': 'https://crests.football-data.org/354.png'}","{'id': 338, 'name': 'Leicester City FC', 'shortName': 'Leicester City', 'tla': 'LEI', 'crest': 'https://crests.football-data.org/338.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 2, 'away': 2}, 'halfTime': {'home': 0, 'away': 1}}",FINISHED
"{'id': 63, 'name': 'Fulham FC', 'shortName': 'Fulham', 'tla': 'FUL', 'crest': 'https://crests.football-data.org/63.png'}","{'id': 563, 'name': 'West Ham United FC', 'shortName': 'West Ham', 'tla': 'WHU', 'crest': 'https://crests.football-data.org/563.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 1}, 'halfTime': {'home': 1, 'away': 0}}",FINISHED
"{'id': 64, 'name': 'Liverpool FC', 'shortName': 'Liverpool', 'tla': 'LIV', 'crest': 'https://crests.football-data.org/64.png'}","{'id': 351, 'name': 'Nottingham Forest FC', 'shortName': 'Nottingham', 'tla': 'NOT', 'crest': 'https://crests.football-data.org/351.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 0, 'away': 1}, 'halfTime': {'home': 0, 'away': 0}}",FINISHED
"{'id': 65, 'name': 'Manchester City FC', 'shortName': 'Man City', 'tla': 'MCI', 'crest': 'https://crests.football-data.org/65.png'}","{'id': 402, 'name': 'Brentford FC', 'shortName': 'Brentford', 'tla': 'BRE', 'crest': 'https://crests.football-data.org/402.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 2, 'away': 1}, 'halfTime': {'home': 2, 'away': 1}}",FINISHED
"{'id': 58, 'name': 'Aston Villa FC', 'shortName': 'Aston Villa', 'tla': 'AVL', 'crest': 'https://crests.football-data.org/58.png'}","{'id': 62, 'name': 'Everton FC', 'shortName': 'Everton', 'tla': 'EVE', 'crest': 'https://crests.football-data.org/62.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 3, 'away': 2}, 'halfTime': {'home': 1, 'away': 2}}",FINISHED
"{'id': 1044, 'name': 'AFC Bournemouth', 'shortName': 'Bournemouth', 'tla': 'BOU', 'crest': 'https://crests.football-data.org/bournemouth.png'}","{'id': 61, 'name': 'Chelsea FC', 'shortName': 'Chelsea', 'tla': 'CHE', 'crest': 'https://crests.football-data.org/61.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 0, 'away': 1}, 'halfTime': {'home': 0, 'away': 0}}",FINISHED
"{'id': 73, 'name': 'Tottenham Hotspur FC', 'shortName': 'Tottenham', 'tla': 'TOT', 'crest': 'https://crests.football-data.org/73.png'}","{'id': 57, 'name': 'Arsenal FC', 'shortName': 'Arsenal', 'tla': 'ARS', 'crest': 'https://crests.football-data.org/57.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 0, 'away': 1}, 'halfTime': {'home': 0, 'away': 0}}",FINISHED
"{'id': 76, 'name': 'Wolverhampton Wanderers FC', 'shortName': 'Wolverhampton', 'tla': 'WOL', 'crest': 'https://crests.football-data.org/76.png'}","{'id': 67, 'name': 'Newcastle United FC', 'shortName': 'Newcastle', 'tla': 'NEW', 'crest': 'https://crests.football-data.org/67.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 2}, 'halfTime': {'home': 1, 'away': 0}}",FINISHED
"{'id': 563, 'name': 'West Ham United FC', 'shortName': 'West Ham', 'tla': 'WHU', 'crest': 'https://crests.football-data.org/563.png'}","{'id': 61, 'name': 'Chelsea FC', 'shortName': 'Chelsea', 'tla': 'CHE', 'crest': 'https://crests.football-data.org/61.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 0, 'away': 3}, 'halfTime': {'home': 0, 'away': 2}}",FINISHED
"{'id': 58, 'name': 'Aston Villa FC', 'shortName': 'Aston Villa', 'tla': 'AVL', 'crest': 'https://crests.football-data.org/58.png'}","{'id': 76, 'name': 'Wolverhampton Wanderers FC', 'shortName': 'Wolverhampton', 'tla': 'WOL', 'crest': 'https://crests.football-data.org/76.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 3, 'away': 1}, 'halfTime': {'home': 0, 'away': 1}}",FINISHED
"{'id': 63, 'name': 'Fulham FC', 'shortName': 'Fulham', 'tla': 'FUL', 'crest': 'https://crests.football-data.org/63.png'}","{'id': 67, 'name': 'Newcastle United FC', 'shortName': 'Newcastle', 'tla': 'NEW', 'crest': 'https://crests.football-data.org/67.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 3, 'away': 1}, 'halfTime': {'home': 2, 'away': 0}}",FINISHED
"{'id': 338, 'name': 'Leicester City FC', 'shortName': 'Leicester City', 'tla': 'LEI', 'crest': 'https://crests.football-data.org/338.png'}","{'id': 62, 'name': 'Everton FC', 'shortName': 'Everton', 'tla': 'EVE', 'crest': 'https://crests.football-data.org/62.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 1}, 'halfTime': {'home': 0, 'away': 1}}",FINISHED
"{'id': 64, 'name': 'Liverpool FC', 'shortName': 'Liverpool', 'tla': 'LIV', 'crest': 'https://crests.football-data.org/64.png'}","{'id': 1044, 'name': 'AFC Bournemouth', 'shortName': 'Bournemouth', 'tla': 'BOU', 'crest': 'https://crests.football-data.org/bournemouth.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 3, 'away': 0}, 'halfTime': {'home': 3, 'away': 0}}",FINISHED
"{'id': 340, 'name': 'Southampton FC', 'shortName': 'Southampton', 'tla': 'SOU', 'crest': 'https://crests.football-data.org/340.png'}","{'id': 349, 'name': 'Ipswich Town FC', 'shortName': 'Ipswich Town', 'tla': 'IPS', 'crest': 'https://crests.football-data.org/349.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 1}, 'halfTime': {'home': 1, 'away': 0}}",FINISHED
"{'id': 73, 'name': 'Tottenham Hotspur FC', 'shortName': 'Tottenham', 'tla': 'TOT', 'crest': 'https://crests.football-data.org/73.png'}","{'id': 402, 'name': 'Brentford FC', 'shortName': 'Brentford', 'tla': 'BRE', 'crest': 'https://crests.football-data.org/402.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 3, 'away': 1}, 'halfTime': {'home': 2, 'away': 1}}",FINISHED
"{'id': 354, 'name': 'Crystal Palace FC', 'shortName': 'Crystal Palace', 'tla': 'CRY', 'crest': 'https://crests.football-data.org/354.png'}","{'id': 66, 'name': 'Manchester United FC', 'shortName': 'Man United', 'tla': 'MUN', 'crest': 'https://crests.football-data.org/66.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 0, 'away': 0}, 'halfTime': {'home': 0, 'away': 0}}",FINISHED
"{'id': 397, 'name': 'Brighton & Hove Albion FC', 'shortName': 'Brighton Hove', 'tla': 'BHA', 'crest': 'https://crests.football-data.org/397.png'}","{'id': 351, 'name': 'Nottingham Forest FC', 'shortName': 'Nottingham', 'tla': 'NOT', 'crest': 'https://crests.football-data.org/351.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 2, 'away': 2}, 'halfTime': {'home': 2, 'away': 1}}",FINISHED
"{'id': 65, 'name': 'Manchester City FC', 'shortName': 'Man City', 'tla': 'MCI', 'crest': 'https://crests.football-data.org/65.png'}","{'id': 57, 'name': 'Arsenal FC', 'shortName': 'Arsenal', 'tla': 'ARS', 'crest': 'https://crests.football-data.org/57.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 2, 'away': 2}, 'halfTime': {'home': 1, 'away': 2}}",FINISHED
"{'id': 67, 'name': 'Newcastle United FC', 'shortName': 'Newcastle', 'tla': 'NEW', 'crest': 'https://crests.football-data.org/67.png'}","{'id': 65, 'name': 'Manchester City FC', 'shortName': 'Man City', 'tla': 'MCI', 'crest': 'https://crests.football-data.org/65.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 1}, 'halfTime': {'home': 0, 'away': 1}}",FINISHED
"{'id': 57, 'name': 'Arsenal FC', 'shortName': 'Arsenal', 'tla': 'ARS', 'crest': 'https://crests.football-data.org/57.png'}","{'id': 338, 'name': 'Leicester City FC', 'shortName': 'Leicester City', 'tla': 'LEI', 'crest': 'https://crests.football-data.org/338.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 4, 'away': 2}, 'halfTime': {'home': 2, 'away': 0}}",FINISHED
"{'id': 402, 'name': 'Brentford FC', 'shortName': 'Brentford', 'tla': 'BRE', 'crest': 'https://crests.football-data.org/402.png'}","{'id': 563, 'name': 'West Ham United FC', 'shortName': 'West Ham', 'tla': 'WHU', 'crest': 'https://crests.football-data.org/563.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 1}, 'halfTime': {'home': 1, 'away': 0}}",FINISHED
"{'id': 61, 'name': 'Chelsea FC', 'shortName': 'Chelsea', 'tla': 'CHE', 'crest': 'https://crests.football-data.org/61.png'}","{'id': 397, 'name': 'Brighton & Hove Albion FC', 'shortName': 'Brighton Hove', 'tla': 'BHA', 'crest': 'https://crests.football-data.org/397.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 4, 'away': 2}, 'halfTime': {'home': 4, 'away': 2}}",FINISHED
"{'id': 62, 'name': 'Everton FC', 'shortName': 'Everton', 'tla': 'EVE', 'crest': 'https://crests.football-data.org/62.png'}","{'id': 354, 'name': 'Crystal Palace FC', 'shortName': 'Crystal Palace', 'tla': 'CRY', 'crest': 'https://crests.football-data.org/354.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 2, 'away': 1}, 'halfTime': {'home': 0, 'away': 1}}",FINISHED
"{'id': 351, 'name': 'Nottingham Forest FC', 'shortName': 'Nottingham', 'tla': 'NOT', 'crest': 'https://crests.football-data.org/351.png'}","{'id': 63, 'name': 'Fulham FC', 'shortName': 'Fulham', 'tla': 'FUL', 'crest': 'https://crests.football-data.org/63.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 0, 'away': 1}, 'halfTime': {'home': 0, 'away': 0}}",FINISHED
"{'id': 76, 'name': 'Wolverhampton Wanderers FC', 'shortName': 'Wolverhampton', 'tla': 'WOL', 'crest': 'https://crests.football-data.org/76.png'}","{'id': 64, 'name': 'Liverpool FC', 'shortName': 'Liverpool', 'tla': 'LIV', 'crest': 'https://crests.football-data.org/64.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 2}, 'halfTime': {'home': 0, 'away': 1}}",FINISHED
"{'id': 349, 'name': 'Ipswich Town FC', 'shortName': 'Ipswich Town', 'tla': 'IPS', 'crest': 'https://crests.football-data.org/349.png'}","{'id': 58, 'name': 'Aston Villa FC', 'shortName': 'Aston Villa', 'tla': 'AVL', 'crest': 'https://crests.football-data.org/58.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 2, 'away': 2}, 'halfTime': {'home': 1, 'away': 2}}",FINISHED
"{'id': 66, 'name': 'Manchester United FC', 'shortName': 'Man United', 'tla': 'MUN', 'crest': 'https://crests.football-data.org/66.png'}","{'id': 73, 'name': 'Tottenham Hotspur FC', 'shortName': 'Tottenham', 'tla': 'TOT', 'crest': 'https://crests.football-data.org/73.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 0, 'away': 3}, 'halfTime': {'home': 0, 'away': 1}}",FINISHED
"{'id': 1044, 'name': 'AFC Bournemouth', 'shortName': 'Bournemouth', 'tla': 'BOU', 'crest': 'https://crests.football-data.org/bournemouth.png'}","{'id': 340, 'name': 'Southampton FC', 'shortName': 'Southampton', 'tla': 'SOU', 'crest': 'https://crests.football-data.org/340.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 3, 'away': 1}, 'halfTime': {'home': 3, 'away': 0}}",FINISHED
"{'id': 354, 'name': 'Crystal Palace FC', 'shortName': 'Crystal Palace', 'tla': 'CRY', 'crest': 'https://crests.football-data.org/354.png'}","{'id': 64, 'name': 'Liverpool FC', 'shortName': 'Liverpool', 'tla': 'LIV', 'crest': 'https://crests.football-data.org/64.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 0, 'away': 1}, 'halfTime': {'home': 0, 'away': 1}}",FINISHED
"{'id': 57, 'name': 'Arsenal FC', 'shortName': 'Arsenal', 'tla': 'ARS', 'crest': 'https://crests.football-data.org/57.png'}","{'id': 340, 'name': 'Southampton FC', 'shortName': 'Southampton', 'tla': 'SOU', 'crest': 'https://crests.football-data.org/340.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 3, 'away': 1}, 'halfTime': {'home': 0, 'away': 0}}",FINISHED
